candidate_id,rank,score,reasoning
CAND_0018499,1,0.860595,"Strong semantic alignment with retrieval and ranking requirements; 7.2 years of experience in Senior Machine Learning Engineer; currently at Zomato. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.61 recruiter response rate, 15-day notice, 16 recruiter saves in 30d, and active in the last 30 days."
CAND_0081846,2,0.838547,"Strong semantic alignment with retrieval and ranking requirements; 6.7 years of experience in Lead AI Engineer; currently at Razorpay. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.73 recruiter response rate, 30-day notice, and 62 recruiter saves in 30d."
CAND_0077337,3,0.815400,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.0 years of experience in Staff Machine Learning Engineer; currently at Paytm. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.95 recruiter response rate, 60-day notice, 32 recruiter saves in 30d, and active in the last 30 days."
CAND_0046064,4,0.781323,"Strong semantic alignment with retrieval and ranking requirements; 8.9 years of experience in Senior NLP Engineer; currently at Salesforce. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.78 recruiter response rate, 30-day notice, and 25 recruiter saves in 30d."
CAND_0079387,5,0.768999,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.9 years of experience in AI Engineer; currently at Microsoft. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.81 recruiter response rate, 30-day notice, and 22 recruiter saves in 30d."
CAND_0086022,6,0.767938,"Strong semantic alignment with retrieval and ranking requirements; 5.3 years of experience in Senior Applied Scientist; currently at Sarvam AI. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.55 recruiter response rate, 0-day notice, and 53 recruiter saves in 30d."
CAND_0005649,7,0.761375,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.4 years of experience in Senior Data Scientist; currently at Sarvam AI. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.57 recruiter response rate, 90-day notice, and 26 recruiter saves in 30d."
CAND_0005260,8,0.746122,"Strong semantic alignment with retrieval and ranking requirements; 5.2 years of experience in Senior NLP Engineer; currently at Netflix. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.86 recruiter response rate, 60-day notice, 11 recruiter saves in 30d, and active in the last 30 days."
CAND_0044883,9,0.733134,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.3 years of experience in AI Engineer; currently at Mad Street Den. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.84 recruiter response rate, 90-day notice, 59 recruiter saves in 30d, and active in the last 30 days."
CAND_0002025,10,0.730233,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 5.9 years of experience in Senior AI Engineer; currently at Apple. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.80 recruiter response rate, 30-day notice, 22 recruiter saves in 30d, and active in the last 30 days."
CAND_0069905,11,0.720277,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.6 years of experience in Applied ML Engineer; currently at Sarvam AI. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.78 recruiter response rate, 90-day notice, and 57 recruiter saves in 30d."
CAND_0046525,12,0.715718,"Strong semantic alignment with retrieval and ranking requirements; 6.1 years of experience in Senior Machine Learning Engineer; currently at Genpact AI. Career history points to hands-on production ml ownership and matched skills include elasticsearch, information retrieval, and sentence transformers. Behavioral signals are solid with 0.88 recruiter response rate, 60-day notice, 38 recruiter saves in 30d, and active in the last 30 days."
CAND_0044855,13,0.715251,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.6 years of experience in Senior Data Scientist; currently at Flipkart. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.57 recruiter response rate, 60-day notice, and 43 recruiter saves in 30d."
CAND_0083307,14,0.714179,"Strong semantic alignment with retrieval and ranking requirements; 7.8 years of experience in Search Engineer; currently at CRED. Career history points to hands-on production ml ownership and matched skills include embeddings, pinecone, and weaviate. Behavioral signals are solid with 0.70 recruiter response rate, 120-day notice, and 28 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0071974,15,0.712283,"Strong semantic alignment with retrieval and ranking requirements; 7.8 years of experience in Senior AI Engineer; currently at Netflix. Career history points to hands-on production ml ownership and matched skills include weaviate, bm25, and pinecone. Behavioral signals are solid with 0.76 recruiter response rate, 45-day notice, and 50 recruiter saves in 30d."
CAND_0008425,16,0.705636,"Strong semantic alignment with retrieval and ranking requirements; 7.8 years of experience in Senior NLP Engineer; currently at Ola. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.66 recruiter response rate, 90-day notice, and 55 recruiter saves in 30d."
CAND_0041669,17,0.704816,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 8.0 years of experience in Recommendation Systems Engineer; currently at CRED. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.77 recruiter response rate, 60-day notice, and 37 recruiter saves in 30d."
CAND_0080766,18,0.702248,"Strong semantic alignment with retrieval and ranking requirements; 8.8 years of experience in Staff Machine Learning Engineer; currently at Salesforce. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.66 recruiter response rate, 0-day notice, and 27 recruiter saves in 30d."
CAND_0061265,19,0.695168,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.6 years of experience in Recommendation Systems Engineer; currently at Zoho. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.94 recruiter response rate, 120-day notice, and 24 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0075249,20,0.692876,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.2 years of experience in Applied ML Engineer; currently at Zomato. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.82 recruiter response rate, 45-day notice, and 9 recruiter saves in 30d."
CAND_0028793,21,0.691655,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.2 years of experience in Search Engineer; currently at Google. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.57 recruiter response rate, 120-day notice, and 43 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0064326,22,0.691395,"Strong semantic alignment with retrieval and ranking requirements; 7.6 years of experience in Search Engineer; currently at Sarvam AI. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.94 recruiter response rate, 45-day notice, 60 recruiter saves in 30d, and active in the last 30 days."
CAND_0041610,23,0.690578,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.7 years of experience in Recommendation Systems Engineer; currently at Zoho. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.52 recruiter response rate, 30-day notice, 18 recruiter saves in 30d, and active in the last 30 days."
CAND_0093912,24,0.689927,"Strong semantic alignment with retrieval and ranking requirements; 5.3 years of experience in Senior Data Scientist; currently at Razorpay. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.66 recruiter response rate, 30-day notice, 56 recruiter saves in 30d, and active in the last 30 days."
CAND_0042506,25,0.686102,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 4.2 years of experience in Search Engineer; currently at Verloop.io. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.48 recruiter response rate, 15-day notice, 49 recruiter saves in 30d, and active in the last 30 days."
CAND_0007412,26,0.682099,"Strong semantic alignment with retrieval and recommendation requirements; 7.4 years of experience in Applied ML Engineer; currently at Zoho. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.76 recruiter response rate, 120-day notice, and 38 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0092278,27,0.678133,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.8 years of experience in Senior NLP Engineer; currently at Microsoft. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Main concern: candidate looks inactive and slow to engage recruiters."
CAND_0033861,28,0.674713,"Strong semantic alignment with retrieval and ranking requirements; 8.0 years of experience in Senior NLP Engineer; currently at Mad Street Den. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.16 recruiter response rate, 30-day notice, and 4 recruiter saves in 30d. Main concern: weak recruiter responsiveness (0.16)."
CAND_0010685,29,0.674626,"Strong semantic alignment with retrieval and ranking requirements; 6.7 years of experience in NLP Engineer; currently at Rephrase.ai. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.83 recruiter response rate, 30-day notice, and 46 recruiter saves in 30d."
CAND_0088025,30,0.672888,"Strong semantic alignment with retrieval and ranking requirements; 8.6 years of experience in Staff Machine Learning Engineer; currently at Yellow.ai. Matched skills include pinecone, bm25, and elasticsearch. Behavioral signals are solid with 0.83 recruiter response rate, 90-day notice, 19 recruiter saves in 30d, and active in the last 30 days."
CAND_0084819,31,0.669602,"Strong semantic alignment with retrieval and ranking requirements; 4.5 years of experience in Search Engineer; currently at Dream11. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.74 recruiter response rate, 120-day notice, 50 recruiter saves in 30d, and active in the last 30 days. Main concern: long notice period (120 days)."
CAND_0052328,32,0.668989,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 6.5 years of experience in Recommendation Systems Engineer; currently at Amazon. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.79 recruiter response rate, 30-day notice, and 31 recruiter saves in 30d."
CAND_0052682,33,0.667415,"Strong semantic alignment with retrieval and recommendation requirements; 6.6 years of experience in NLP Engineer; currently at Aganitha. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.88 recruiter response rate, 30-day notice, and 16 recruiter saves in 30d."
CAND_0065195,34,0.658752,"Strong semantic alignment with retrieval and ranking requirements; 5.1 years of experience in Search Engineer; currently at CRED. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.80 recruiter response rate, 45-day notice, 13 recruiter saves in 30d, and active in the last 30 days."
CAND_0030348,35,0.657153,"Strong semantic alignment with retrieval and recommendation requirements; 4.5 years of experience in Machine Learning Engineer; currently at BYJU'S. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.54 recruiter response rate, 45-day notice, and 18 recruiter saves in 30d."
CAND_0066376,36,0.656963,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 5.7 years of experience in Applied ML Engineer; currently at Dream11. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.51 recruiter response rate, 90-day notice, and 59 recruiter saves in 30d."
CAND_0027801,37,0.656455,"Strong semantic alignment with retrieval and recommendation requirements; 7.4 years of experience in NLP Engineer; currently at InMobi. Background fits a product or marketplace environment and matched skills include faiss, milvus, and opensearch. Behavioral signals are solid with 0.65 recruiter response rate, 120-day notice, and 65 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0040117,38,0.653431,"Strong semantic alignment with retrieval and recommendation requirements; 6.5 years of experience in Recommendation Systems Engineer; currently at PhonePe. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.66 recruiter response rate, 15-day notice, and 28 recruiter saves in 30d."
CAND_0074735,39,0.652882,"Strong semantic alignment with retrieval and recommendation requirements; 5.5 years of experience in Applied ML Engineer; currently at Rephrase.ai. Background fits a product or marketplace environment and matched skills include weaviate, information retrieval, and semantic search. Behavioral signals are solid with 0.77 recruiter response rate, 90-day notice, and 31 recruiter saves in 30d."
CAND_0042029,40,0.652280,"Strong semantic alignment with retrieval and ranking requirements; 6.5 years of experience in Senior Data Scientist; currently at Flipkart. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.67 recruiter response rate, 45-day notice, and 16 recruiter saves in 30d."
CAND_0079064,41,0.650013,"Strong semantic alignment with retrieval and recommendation requirements; 5.2 years of experience in Senior Data Scientist; currently at Niramai. Matched skills include opensearch, semantic search, and pinecone. Behavioral signals are solid with 0.91 recruiter response rate, 120-day notice, and 39 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0098846,42,0.649545,"Strong semantic alignment with ranking requirements; 7.6 years of experience in AI Engineer; currently at upGrad. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.62 recruiter response rate, 45-day notice, and 13 recruiter saves in 30d."
CAND_0030953,43,0.649288,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.8 years of experience in Search Engineer; currently at Nykaa. Career history points to hands-on production ml ownership and matched skills include qdrant, weaviate, and learning to rank. Behavioral signals are solid with 0.63 recruiter response rate, 45-day notice, and 46 recruiter saves in 30d."
CAND_0007009,44,0.649173,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.9 years of experience in Recommendation Systems Engineer; currently at Wysa. Career history points to hands-on production ml ownership and matched skills include weaviate, embeddings, and bm25. Behavioral signals are solid with 0.62 recruiter response rate, 30-day notice, and 5 recruiter saves in 30d."
CAND_0094056,45,0.648971,"Strong semantic alignment with retrieval and recommendation requirements; 5.9 years of experience in NLP Engineer; currently at Rephrase.ai. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.82 recruiter response rate, 120-day notice, and 4 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0086151,46,0.648913,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.7 years of experience in Recommendation Systems Engineer; currently at Wysa. Career history points to hands-on production ml ownership and matched skills include qdrant, opensearch, and embeddings. Behavioral signals are solid with 0.52 recruiter response rate, 120-day notice, and 55 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0068811,47,0.647074,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 8.0 years of experience in Applied ML Engineer; currently at Freshworks. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.42 recruiter response rate, 30-day notice, 4 recruiter saves in 30d, and active in the last 30 days."
CAND_0060054,48,0.646480,"Strong semantic alignment with retrieval and recommendation requirements; 6.4 years of experience in AI Engineer; currently at Mad Street Den. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.86 recruiter response rate, 15-day notice, and 39 recruiter saves in 30d."
CAND_0041611,49,0.646128,Strong semantic alignment with retrieval and ranking requirements; 6.4 years of experience in Staff Machine Learning Engineer; currently at Locobuzz. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.07 recruiter response rate and 30-day notice. Main concern: candidate looks inactive and slow to engage recruiters.
CAND_0018722,50,0.643800,"Strong semantic alignment with retrieval and recommendation requirements; 6.6 years of experience in Recommendation Systems Engineer; currently at Saarthi.ai. Career history points to hands-on production ml ownership and matched skills include weaviate, recommendation systems, and python. Behavioral signals are solid with 0.79 recruiter response rate, 90-day notice, and 16 recruiter saves in 30d."
