candidate_id,rank,score,reasoning
CAND_0029367,51,0.640040,"Strong semantic alignment with retrieval requirements; 5.7 years of experience in Senior Data Scientist; currently at Rephrase.ai. Background fits a product or marketplace environment and matched skills include faiss, sentence transformers, and pinecone. Behavioral signals are solid with 0.77 recruiter response rate, 90-day notice, 7 recruiter saves in 30d, and active in the last 30 days."
CAND_0030031,52,0.637404,"Strong semantic alignment with recommendation requirements; 5.7 years of experience in AI Engineer; currently at Microsoft. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.94 recruiter response rate, 30-day notice, 13 recruiter saves in 30d, and active in the last 30 days. Main concern: Direct ranking-system evidence is thinner than the strongest profiles."
CAND_0011687,53,0.637110,"Strong semantic alignment with retrieval requirements; 7.8 years of experience in Senior NLP Engineer; currently at Niramai. Career history points to hands-on production ml ownership and matched skills include opensearch, faiss, and embeddings. Behavioral signals are solid with 0.89 recruiter response rate, 15-day notice, 27 recruiter saves in 30d, and active in the last 30 days."
CAND_0050454,54,0.635228,"Strong semantic alignment with retrieval requirements; 6.8 years of experience in AI Engineer; currently at Rephrase.ai. Background fits a product or marketplace environment and matched skills include faiss, qdrant, and bm25. Behavioral signals are solid with 0.77 recruiter response rate, 30-day notice, and 30 recruiter saves in 30d."
CAND_0058575,55,0.634350,"Strong semantic alignment with retrieval requirements; 5.8 years of experience in AI Engineer; currently at Krutrim. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.69 recruiter response rate, 90-day notice, and 47 recruiter saves in 30d."
CAND_0027691,56,0.633804,"Strong semantic alignment with retrieval and recommendation requirements; 6.5 years of experience in NLP Engineer; currently at Haptik. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.68 recruiter response rate, 15-day notice, and 25 recruiter saves in 30d."
CAND_0054123,57,0.632930,"Strong semantic alignment with retrieval and recommendation requirements; 4.7 years of experience in Applied ML Engineer; currently at Meta. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.87 recruiter response rate, 60-day notice, 11 recruiter saves in 30d, and active in the last 30 days."
CAND_0049896,58,0.631294,"Strong semantic alignment with retrieval and recommendation requirements; 7.3 years of experience in Search Engineer; currently at Unacademy. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.43 recruiter response rate, 90-day notice, 44 recruiter saves in 30d, and active in the last 30 days."
CAND_0057563,59,0.630471,"Strong semantic alignment with retrieval and recommendation requirements; 6.8 years of experience in NLP Engineer; currently at Locobuzz. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.83 recruiter response rate, 60-day notice, and 33 recruiter saves in 30d."
CAND_0001610,60,0.630355,"Strong semantic alignment with retrieval and recommendation requirements; 3.0 years of experience in Machine Learning Engineer; currently at Dream11. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.57 recruiter response rate, 90-day notice, and 53 recruiter saves in 30d."
CAND_0055905,61,0.629362,"Strong semantic alignment with retrieval and ranking requirements; 8.1 years of experience in Senior Machine Learning Engineer; currently at Flipkart. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.87 recruiter response rate, 30-day notice, 13 recruiter saves in 30d, and active in the last 30 days. Main concern: outside India without relocation flexibility."
CAND_0020877,62,0.628996,"Strong semantic alignment with retrieval requirements; 5.1 years of experience in Applied ML Engineer; currently at CRED. Background fits a product or marketplace environment and matched skills include elasticsearch, opensearch, and information retrieval. Behavioral signals are solid with 0.66 recruiter response rate, 60-day notice, and 19 recruiter saves in 30d."
CAND_0081852,63,0.627551,"Strong semantic alignment with retrieval and recommendation requirements; 5.9 years of experience in Senior Data Scientist; currently at Mad Street Den. Background fits a product or marketplace environment and matched skills include semantic search, milvus, and weaviate. Behavioral signals are solid with 0.44 recruiter response rate, 45-day notice, 25 recruiter saves in 30d, and active in the last 30 days. Main concern: thin direct ranking evidence (0.20)."
CAND_0026532,64,0.626502,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 4.8 years of experience in Recommendation Systems Engineer; currently at Zomato. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.52 recruiter response rate, 90-day notice, and 42 recruiter saves in 30d."
CAND_0036863,65,0.626357,"Strong semantic alignment with ranking and recommendation requirements; 4.3 years of experience in Senior Data Scientist; currently at upGrad. Background fits a product or marketplace environment and matched skills include qdrant, opensearch, and bm25. Behavioral signals are solid with 0.46 recruiter response rate, 60-day notice, and 57 recruiter saves in 30d."
CAND_0062247,66,0.625309,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.3 years of experience in AI Engineer; currently at Google. Background fits a product or marketplace environment and matched skills include pinecone, vector search, and qdrant. Behavioral signals are solid with 0.78 recruiter response rate, 30-day notice, and 9 recruiter saves in 30d."
CAND_0053695,67,0.622705,"Strong semantic alignment with retrieval and recommendation requirements; 5.8 years of experience in Recommendation Systems Engineer; currently at Meesho. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.60 recruiter response rate, 15-day notice, and 34 recruiter saves in 30d."
CAND_0037566,68,0.622383,"Strong semantic alignment with retrieval requirements; 6.9 years of experience in Machine Learning Engineer; currently at LinkedIn. Background fits a product or marketplace environment and matched skills include pinecone, bm25, and elasticsearch. Behavioral signals are solid with 0.50 recruiter response rate, 15-day notice, and 23 recruiter saves in 30d."
CAND_0044222,69,0.622264,"Strong semantic alignment with retrieval and recommendation requirements; 7.7 years of experience in AI Engineer; currently at PolicyBazaar. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.60 recruiter response rate, 60-day notice, 54 recruiter saves in 30d, and active in the last 30 days."
CAND_0076251,70,0.621270,"Strong semantic alignment with retrieval and ranking requirements; 7.6 years of experience in Search Engineer; currently at Haptik. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.51 recruiter response rate, 60-day notice, and 47 recruiter saves in 30d."
CAND_0039383,71,0.619628,"Strong semantic alignment with retrieval requirements; 7.1 years of experience in Applied ML Engineer; currently at Meesho. Background fits a product or marketplace environment and matched skills include faiss, vector search, and elasticsearch. Behavioral signals are solid with 0.61 recruiter response rate, 90-day notice, and 34 recruiter saves in 30d."
CAND_0075439,72,0.619333,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 4.3 years of experience in Machine Learning Engineer; currently at Flipkart. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.56 recruiter response rate, 30-day notice, 42 recruiter saves in 30d, and active in the last 30 days."
CAND_0037980,73,0.617196,"Strong semantic alignment with ranking requirements; 9.0 years of experience in Senior Applied Scientist; currently at Niramai. Career history points to hands-on production ml ownership and matched skills include bm25, information retrieval systems, and recommendation systems. Behavioral signals are solid with 0.63 recruiter response rate, 0-day notice, and 65 recruiter saves in 30d."
CAND_0043228,74,0.616087,"Strong semantic alignment with retrieval and ranking requirements; 6.8 years of experience in Applied ML Engineer; currently at Zoho. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.41 recruiter response rate, 30-day notice, 65 recruiter saves in 30d, and active in the last 30 days."
CAND_0006557,75,0.615385,"Strong semantic alignment with ranking and recommendation requirements; 7.9 years of experience in NLP Engineer; currently at Paytm. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.63 recruiter response rate, 120-day notice, and 53 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0070398,76,0.614198,"Strong semantic alignment with retrieval and ranking requirements; 7.2 years of experience in Machine Learning Engineer; currently at Genpact AI. Career history points to hands-on production ml ownership and matched skills include bm25, faiss, and embeddings. Behavioral signals are solid with 0.60 recruiter response rate, 120-day notice, and 13 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0075574,77,0.612951,"Strong semantic alignment with ranking and recommendation requirements; 5.7 years of experience in Machine Learning Engineer; currently at Haptik. Career history points to hands-on production ml ownership and matched skills include weaviate, opensearch, and qdrant. Behavioral signals are solid with 0.58 recruiter response rate, 60-day notice, 24 recruiter saves in 30d, and active in the last 30 days."
CAND_0095528,78,0.612812,"Strong semantic alignment with retrieval and recommendation requirements; 5.3 years of experience in Senior Data Scientist; currently at Netflix. Career history points to hands-on production ml ownership and matched skills include opensearch, semantic search, and vector search. Behavioral signals are solid with 0.55 recruiter response rate, 45-day notice, and 25 recruiter saves in 30d."
CAND_0017960,79,0.611008,"Strong semantic alignment with retrieval and recommendation requirements; 7.7 years of experience in Recommendation Systems Engineer; currently at Nykaa. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.72 recruiter response rate, 60-day notice, and 43 recruiter saves in 30d."
CAND_0077285,80,0.610960,"Strong semantic alignment with recommendation requirements; 5.5 years of experience in Recommendation Systems Engineer; currently at Nykaa. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.56 recruiter response rate, 60-day notice, and 65 recruiter saves in 30d."
CAND_0094759,81,0.610801,"Strong semantic alignment with retrieval and ranking requirements; 8.6 years of experience in Lead AI Engineer; currently at Meta. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.11 recruiter response rate, 30-day notice, and 5 recruiter saves in 30d. Main concern: weak recruiter responsiveness (0.11)."
CAND_0052335,82,0.607443,"Strong semantic alignment with retrieval and ranking requirements; 6.4 years of experience in Applied ML Engineer; currently at Aganitha. Background fits a product or marketplace environment and matched skills include semantic search, sentence transformers, and learning to rank. Behavioral signals are solid with 0.79 recruiter response rate, 60-day notice, and 35 recruiter saves in 30d."
CAND_0051292,83,0.606355,"Strong semantic alignment with retrieval and ranking requirements; 5.2 years of experience in Applied ML Engineer; currently at Freshworks. Background fits a product or marketplace environment and matched skills include faiss, vector search, and elasticsearch. Behavioral signals are solid with 0.52 recruiter response rate, 30-day notice, and 9 recruiter saves in 30d."
CAND_0049538,84,0.604514,"Strong semantic alignment with ranking and recommendation requirements; 5.8 years of experience in Applied ML Engineer; currently at Saarthi.ai. Matched skills include opensearch, vector search, and milvus. Behavioral signals are solid with 0.72 recruiter response rate, 30-day notice, 60 recruiter saves in 30d, and active in the last 30 days."
CAND_0031593,85,0.603105,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 7.8 years of experience in Search Engineer; currently at Genpact AI. Career history points to hands-on production ml ownership and matched skills include bm25, embeddings, and elasticsearch. Behavioral signals are solid with 0.58 recruiter response rate, 90-day notice, and 17 recruiter saves in 30d."
CAND_0070202,86,0.602802,"Strong semantic alignment with retrieval, ranking, and recommendation requirements; 5.1 years of experience in Machine Learning Engineer; currently at BYJU'S. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.60 recruiter response rate, 90-day notice, 28 recruiter saves in 30d, and active in the last 30 days."
CAND_0089552,87,0.600277,"Strong semantic alignment with retrieval and recommendation requirements; 6.0 years of experience in Machine Learning Engineer; currently at Netflix. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.49 recruiter response rate, 120-day notice, and 50 recruiter saves in 30d. Main concern: long notice period (120 days)."
CAND_0039754,88,0.599076,"Strong semantic alignment with retrieval and ranking requirements; 16.2 years of experience in Senior Applied Scientist; currently at Meta. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.81 recruiter response rate, 30-day notice, 51 recruiter saves in 30d, and active in the last 30 days. Main concern: well above the target experience band."
CAND_0014440,89,0.598990,"Strong semantic alignment with ranking and recommendation requirements; 6.4 years of experience in Recommendation Systems Engineer; currently at CRED. Background fits a product or marketplace environment and matched skills include elasticsearch, milvus, and faiss. Behavioral signals are solid with 0.64 recruiter response rate, 60-day notice, 33 recruiter saves in 30d, and active in the last 30 days."
CAND_0036184,90,0.598974,"Strong semantic alignment with retrieval and recommendation requirements; 6.0 years of experience in Recommendation Systems Engineer; currently at CRED. Background fits a product or marketplace environment and matched skills include faiss, semantic search, and embeddings. Behavioral signals are solid with 0.90 recruiter response rate, 30-day notice, 30 recruiter saves in 30d, and active in the last 30 days. Main concern: thin direct ranking evidence (0.15)."
CAND_0096172,91,0.598637,"Strong semantic alignment with retrieval and recommendation requirements; 5.2 years of experience in NLP Engineer; currently at Krutrim. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.47 recruiter response rate, 45-day notice, and 11 recruiter saves in 30d."
CAND_0005538,92,0.598568,"Strong semantic alignment with retrieval/search and ranking evaluation requirements; 5.9 years of experience in Senior AI Engineer; currently at Adobe. Background fits a product or marketplace environment and matched skills include information retrieval systems, python, and pytorch. Behavioral signals are solid with 0.81 recruiter response rate, 90-day notice, 20 recruiter saves in 30d, and active in the last 30 days."
CAND_0081053,93,0.596121,"Strong semantic alignment with retrieval and recommendation requirements; 5.4 years of experience in NLP Engineer; currently at Glance. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.83 recruiter response rate, 90-day notice, and 40 recruiter saves in 30d. Main concern: Direct ranking-system evidence is thinner than the strongest profiles."
CAND_0064904,94,0.595571,"Strong semantic alignment with recommendation requirements; 4.9 years of experience in AI Engineer; currently at LinkedIn. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.78 recruiter response rate, 90-day notice, and 39 recruiter saves in 30d. Main concern: thin direct ranking evidence (0.14)."
CAND_0061655,95,0.594780,"Strong semantic alignment with ranking and recommendation requirements; 4.6 years of experience in Machine Learning Engineer; currently at Krutrim. Background fits a product or marketplace environment and matched skills include pinecone, qdrant, and bm25. Behavioral signals are solid with 0.88 recruiter response rate, 15-day notice, 19 recruiter saves in 30d, and active in the last 30 days."
CAND_0000031,96,0.593093,"Strong semantic alignment with recommendation requirements; 6.0 years of experience in Recommendation Systems Engineer; currently at Swiggy. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.91 recruiter response rate, 60-day notice, 13 recruiter saves in 30d, and active in the last 30 days."
CAND_0006418,97,0.592831,"Strong semantic alignment with ranking requirements; 5.7 years of experience in Machine Learning Engineer; currently at Verloop.io. Background fits a product or marketplace environment and matched skills include semantic search, embeddings, and weaviate. Behavioral signals are solid with 0.92 recruiter response rate, 60-day notice, and 9 recruiter saves in 30d."
CAND_0009691,98,0.592314,"Strong semantic alignment with retrieval and recommendation requirements; 6.2 years of experience in Applied ML Engineer; currently at LinkedIn. Career history points to hands-on production ml ownership and matched skills include pinecone, sentence transformers, and qdrant. Behavioral signals are solid with 0.64 recruiter response rate, 120-day notice, 7 recruiter saves in 30d, and active in the last 30 days. Main concern: thin direct ranking evidence (0.20)."
CAND_0074225,99,0.590877,"Strong semantic alignment with retrieval and recommendation requirements; 4.3 years of experience in Machine Learning Engineer; currently at Unacademy. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.91 recruiter response rate, 120-day notice, 53 recruiter saves in 30d, and active in the last 30 days. Main concern: long notice period (120 days)."
CAND_0064270,100,0.587711,"Strong semantic alignment with retrieval and ranking requirements; 4.2 years of experience in Applied ML Engineer; currently at Verloop.io. Career history points to hands-on production ml ownership and background fits a product or marketplace environment. Behavioral signals are solid with 0.82 recruiter response rate, 45-day notice, and 22 recruiter saves in 30d."
